time=1661421745.1513734 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.200716 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.2428007 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.2851734 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.3273704 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.3689265 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.410253 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.4577212 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.499881 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.542224 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.584016 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.6274748 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.67103 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.7146146 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.7571795 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.7998455 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.8435044 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.885297 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.9291294 Pos: [0.2925 0.     0.8775] angle 0
time=1661421745.9720814 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.0186312 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.060493 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.1040037 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.146465 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.1888938 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.2327259 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.2747858 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.31856 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.3613076 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.4034374 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.4453452 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.4952297 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.5410788 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.5831974 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.6266577 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.669969 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.7127404 Pos: [0.2925 0.     0.8775] angle 0
time=1661421746.7559237 Pos: [0.3325 0.     0.8775] angle 0
time=1661421746.798239 Pos: [0.3725 0.     0.8775] angle 0
time=1661421746.84079 Pos: [0.4125 0.     0.8775] angle 0
time=1661421746.8828614 Pos: [0.4525 0.     0.8775] angle 0
time=1661421746.924498 Pos: [0.4925 0.     0.8775] angle 0
time=1661421746.9671404 Pos: [0.5325 0.     0.8775] angle 0
time=1661421747.012394 Pos: [0.5725 0.     0.8775] angle 0
time=1661421747.05553 Pos: [0.6125 0.     0.8775] angle 0
time=1661421747.0987213 Pos: [0.6525 0.     0.8775] angle 0
time=1661421747.1428204 Pos: [0.6925 0.     0.8775] angle 0
time=1661421747.1870797 Pos: [0.7325 0.     0.8775] angle 0
time=1661421747.2324536 Pos: [0.7725 0.     0.8775] angle 0
time=1661421747.27731 Pos: [0.8125 0.     0.8775] angle 0
time=1661421747.320107 Pos: [0.8525 0.     0.8775] angle 0
time=1661421747.3627167 Pos: [0.8925 0.     0.8775] angle 0
time=1661421747.4049578 Pos: [0.9325 0.     0.8775] angle 0
time=1661421747.4475005 Pos: [0.9725 0.     0.8775] angle 0
time=1661421747.4894862 Pos: [1.0125 0.     0.8775] angle 0
time=1661421747.533591 Pos: [1.0525 0.     0.8775] angle 0
time=1661421747.585295 Pos: [1.0925 0.     0.8775] angle 0
time=1661421747.6278477 Pos: [1.1325 0.     0.8775] angle 0
time=1661421747.6695936 Pos: [1.1725 0.     0.8775] angle 0
time=1661421747.712546 Pos: [1.2125 0.     0.8775] angle 0
time=1661421747.755192 Pos: [1.2525 0.     0.8775] angle 0
time=1661421747.7983336 Pos: [1.2925 0.     0.8775] angle 0
time=1661421747.8417802 Pos: [1.3325 0.     0.8775] angle 0
time=1661421747.8841825 Pos: [1.3725 0.     0.8775] angle 0
time=1661421747.926761 Pos: [1.4125 0.     0.8775] angle 0
time=1661421747.970336 Pos: [1.4525 0.     0.8775] angle 0
time=1661421748.0136776 Pos: [1.4925 0.     0.8775] angle 0
time=1661421748.0562913 Pos: [1.5325 0.     0.8775] angle 0
time=1661421748.1014788 Pos: [1.5725 0.     0.8775] angle 0
time=1661421748.1453536 Pos: [1.6125 0.     0.8775] angle 0
time=1661421748.1893954 Pos: [1.6525 0.     0.8775] angle 0
time=1661421748.2331493 Pos: [1.6925 0.     0.8775] angle 0
time=1661421748.279072 Pos: [1.7325 0.     0.8775] angle 0
time=1661421748.3211136 Pos: [1.7725 0.     0.8775] angle 0
time=1661421748.3637638 Pos: [1.8125 0.     0.8775] angle 0
